Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price USD,Extended Price USD,
1,1,952-1985-ND,6POS SIL VERTICAL PIN HEADER,J2 (CONSOLE CAP REV1),1,0,0.28000,0.28,
2,2,S7008-ND,CONN HEADER FEMALE 10POS.1" TIN,J4 J5 (CONSOLE CAP REV1),2,0,0.81000,1.62,
3,10,399-9030-1-ND,CAP CER 22PF 25V C0G/NP0 0603,C3 C4 (CONSOLE CAP REV1),10,0,0.06300,0.63,
4,1,952-1902-ND,20POS SIL VERTICAL PIN HEADER,J2 (CONSOLE CAP REV1),1,0,0.63000,0.63,
5,10,311-10KARCT-ND,RES SMD 10K OHM 5% 1/8W 0805,R1 (CONSOLE CAP REV1),10,0,0.01900,0.19,
6,1,952-1921-ND,2X3POS DIL VERTICAL PIN HEADER,J3 (CONSOLE CAP REV1),1,0,0.33000,0.33,
7,2,SW1020CT-ND,SWITCH TACTILE SPST-NO 0.05A 12V,S1 (CONSOLE CAP REV1),2,0,1.00000,2.00,
8,2,952-1843-ND,10POS SIL VERTICAL PIN HEADER,J4 J5 (CONSOLE CAP REV1),2,0,0.37000,0.74,
9,3,ATMEGA328P-AURCT-ND,IC MCU 8BIT 32KB FLASH 32TQFP,U2  (CONSOLE CAP REV1),3,0,2.18000,6.54,
10,3,CTX1206CT-ND,CRYSTAL 16.0000MHZ 18PF SMD,X1 (CONSOLE CAP REV1),3,0,1.14000,3.42,
11,10,490-3285-1-ND,CAP CER 0.1UF 100V X7R 0603,C1 C5 C7 C8 C9 (CONSOLE CAP REV1),10,0,0.15600,1.56,
12,1,1276-3484-1-ND,RES SMD 1K OHM 1% 1/10W 0603,R2 (CONSOLE CAP REV1),1,0,0.10000,0.10,
13,2,S7018-ND,CONN HEADER FEMALE 20POS.1" TIN,LCD  (CONSOLE CAP REV1),2,0,1.53000,3.06,
14,1,S7000-ND,CONN HEADER FEMALE 2POS .1" TIN,J7 (CONSOLE CAP REV1),1,0,0.49000,0.49,
15,1,929974E-01-06-ND,CONN RECEPT .100 SNGL STR 6POS,J2 (CONSOLE CAP REV1),1,0,0.90000,0.90,
16,1,S7004-ND,CONN HEADER FEMALE 6POS .1" TIN,J2 (CONSOLE CAP REV1),1,0,0.68000,0.68,
17,10,311-1.00KHRCT-ND,RES SMD 1K OHM 1% 1/10W 0603,R2 (CONSOLE CAP REV1),10,0,0.01500,0.15,
18,1,475-2512-1-ND,LED RED DIFFUSED 0603 SMD,LED1 (CONSOLE CAP REV1),1,0,0.26000,0.26,
19,1,511-1578-1-ND,LED GREEN DIFFUSED 0603 SMD,LED1 (CONSOLE CAP REV1),1,0,0.34000,0.34,
20,1,67-1550-1-ND,LED YELLOW DIFFUSED 0603 SMD,LED1 (CONSOLE CAP REV1),1,0,0.39000,0.39,
21,1,67-1551-1-ND,LED RED DIFFUSED 0603 SMD,LED1 (CONSOLE CAP REV1),1,0,0.44000,0.44,
22,1,67-1549-1-ND,LED GREEN DIFFUSED 0603 SMD,LED1 (CONSOLE CAP REV1),1,0,0.39000,0.39,
